Card Name,Quantity,Set Code,Number
Oracle's Insight,1,BBD,127
Orzhov Racketeers,5,RNA,80
Pharika's Mender,3,THS,197
Phyrexian Missionary,1,DMU,27
Predatory Impetus,4,C20,62
Psychic Impetus,1,C20,37
Quintessential Katana,2,TMT,23
Radiant Epicure,1,MH2,98
Rally the Peasants,1,ISD,28
Rallying Roar,3,XLN,30
Rampaging Ceratops,1,LCI,322
Rigging Runner,3,XLN,157
Rites of Reaping,1,RTR,191
Riveteers Charm,1,SNC,217
Rod of Ruin,3,7ED,314
Sadistic Skymarcher,2,RIX,85
Sea God's Scorn,1,THB,63
Seal from Existence,3,MOM,35
Sealock Monster,4,THS,62
Self-Reflection,1,FDN,163
Serpentine Basilisk,8,ONS,280
Settle the Score,3,DOM,103
Shadowmage Infiltrator,1,A25,217
Shrewd Hatchling,1,EVE,112
Siegebreaker Giant,6,M19,157
Sifter Wurm,1,CMR,254
"Slurrk, All-Ingesting",1,CMR,256
Soulcatcher,1,EMA,30
Spectral Shepherd,2,VOC,98
Spreading Flames,1,EMN,143
Sprouting Thrinax,1,2X2,278
Stinging Cave Crawler,3,LCI,124
Stonebinder's Familiar,1,STX,31
Sudden Impact,2,8ED,226
Surge of Righteousness,3,DTK,42
Suspicious Bookcase,1,JMP,487
Swift Reckoning,1,ORI,35
Systems Override,1,EOE,161
Tattermunge Witch,1,MM3,212
Tectonic Rift,7,M19,162
Terminal Agony,1,OTP,55
Terra Ravager,1,C13,126
Thought Harvester,3,OGW,48
Thwart the Grave,1,ZNR,130
"Tiana, Ship's Caretaker",2,DOM,208
Treasure Dredger,1,OTJ,110
Triton Tactics,1,THS,71
Unraveling Mummy,2,HOU,147
Vaultbreaker,3,FRF,117
Vengeance,1,7ED,54
Viashino Sandstalker,2,8ED,230
Vitu-Ghazi Guildmage,4,RTR,207
Vizier of the Anointed,2,HOU,55
Volcanic Dragon,9,M19,167
Wall of Limbs,1,M15,121
Warden of Evos Isle,2,M20,79
Windstorm Drake,3,RNA,60
Witness the Future,1,VOW,90
Acolyte of the Inferno,7,ORI,128
"Alirios, Enraptured",1,THB,42
Arcane Encyclopedia,4,M19,227
Arrows of Justice,2,GTC,211
Asari Captain,4,NEO,327
Atarka Pummeler,2,DTK,129
Awaken the Sleeper,3,ONE,119
Azorius Skyguard,2,RNA,155
Azure Mage,1,MM3,31
Baloth Null,2,OGW,152
Bark-Knuckle Boxer,1,BLB,164
Bat Colony,1,LCI,5
Bear's Companion,1,2X2,182
Bladehold War-Whip,2,ONE,197
Blood Aspirant,1,THB,128
Blood Host,2,M15,87
Bog Naughty,3,ELD,80
Bond of Passion,1,WAR,116
Bronzebeak Moa,3,DGM,60
Burlfist Oak,3,M21,174
Calamitous Cave-In,4,LCI,139
Canopy Crawler,6,LGN,122
Cephalopod Sentry,1,ONE,198
Civilized Scholar // Homicidal Brute,1,ISD,47
Clan Guildmage,2,RNA,162
Covetous Castaway // Ghostly Castigator,2,MID,45
Crested Herdcaller,3,RIX,126
Cunning Breezedancer,1,DTK,215
Curator of Sun's Creation,4,LCI,141
Dark Withering,1,DMR,79
Dawn to Dusk,2,BNG,6
Dazzling Ramparts,6,KTK,6
Demolish,8,9ED,179
Discover the Impossible,3,NEO,50
Dissipate,2,MID,49
Drogskol Shieldmate,1,EMN,22
Dundoolin Weaver,1,ECL,175
Durable Handicraft,1,KLD,153
Duskmantle Prowler,4,M13,91
Eaten by Spiders,3,AVR,177
Elite Scaleguard,3,FRF,12
Ent-Draught Basin,1,LTR,238
Entomber Exarch,1,MM3,68
Essence Scatter,1,FDN,153
Everdream,6,MH1,47
Faith's Fetters,1,J22,181
"Faramir, Field Commander",1,LTR,14
Farm // Market,1,HOU,148
"Fear, Fire, Foes!",1,LTR,125
Feast of Succession,1,CMR,127
Fireball,1,M11,138
Firefly,1,TMP,172
Flame Channeler // Embodiment of Flame,2,MID,141
Flaxen Intruder // Welcome Home,1,ELD,155
Foray of Orcs,3,LTR,417
Forbidden Alchemy,1,AFC,84
Forlorn Pseudamma,1,BNG,71
Foul Emissary,2,EMN,158
Foundry Hornet,1,AER,59
Frenetic Raptor,8,LGN,93
Frillscare Mentor,2,IKO,121
Gird for Battle,1,GRN,12
Glaive of the Guildpact,4,GRN,236
Glimmerpoint Stag,2,EMA,12
Glorious Enforcer,4,MH2,14
Golden Ratio,1,STX,190
Golgari Raiders,2,GRN,130
Goremand,1,M21,101
Grasp of Darkness,3,OGW,85
Halimar Tidecaller,5,BFZ,79
"Hallar, the Firefletcher",2,DOM,196
"Hama Pashar, Ruin Seeker",2,AFR,224
Hamlet Captain,1,EMN,161
Haunter of Nightveil,2,DGM,76
Heavy Arbalest,2,A25,225
Hellhole Flailer,3,RTR,167
Hewed Stone Retainers,1,FRF,161
"Hikari, Twilight Guardian",1,MM2,18
Homicidal Seclusion,1,AVR,108
Homing Lightning,5,GTC,96
Honored Knight-Captain,1,EOE,22
Hungry for More,1,MID,228
Hymn of the Faller,1,EOE,107
Inga Rune-Eyes,1,KHM,304
Interpret the Signs,1,JOU,43
Into the Void,1,AVR,62
Invasion of Belenon // Belenon War Anthem,1,MOM,20
Invasion of Eldraine // Prickle Faeries,2,MOM,113
Janjeet Sentry,5,KLD,53
Joraga Auxiliary,1,OGW,154
Kinetic Augur,1,M21,154
Knight of the Last Breath,3,RNA,188
Linebreaker Baloth,1,DMU,168
"Lord Dregg, Insect Invader",1,TMT,65
Lorescale Coatl,3,A25,207
Mardu Roughrider,3,KTK,187
Markov Purifier,1,VOW,312
Merciless Eternal,1,HOU,71
Meteor Golem,2,C21,250
Mindwhisker,1,BLB,60
Moritte of the Frost,4,KHM,223
Murderer's Axe,1,SOI,259
Mystic Enforcer,1,DMR,192
Myth Realized,2,2X2,22
Nebelgast Herald,2,EMN,71
Nemesis Phoenix,2,CLB,189
Nephalia Smuggler,1,2X2,61
Ogre Siegebreaker,1,M20,215
Oketra's Attendant,2,AKH,22
Orcish Vandal,2,DOM,137
Ordeal of Purphoros,1,THS,131
Overwhelm,3,M15,189
Overwhelm,2,MM2,152
Patron of the Valiant,1,ORI,28
Peace of Mind,1,EMN,36
Pennon Blade,1,CMR,329
Pouncing Shoreshark,1,IKO,64
Psychic Pickpocket,1,SNC,54
Psychic Symbiont,1,2X2,266
Pull Through the Weft,1,EOE,202
Purphoros's Emissary,4,THS,136
Quiet Contemplation,2,KTK,50
"Raff Capashen, Ship's Mage",3,DOM,202
Rain of Thorns,1,AVR,190
Reaper of Flight Moonsilver,2,SOI,36
Regenesis,2,RNA,136
Rimekin Recluse,1,ECL,66
Rise from the Grave,7,M19,117
Rite of Undoing,2,FRF,49
Rix Maadi Guildmage,3,RTR,192
Rolling Temblor,1,ISD,161
Rooting Moloch,1,IKO,133
Rootless Yew,4,KHM,189
Sacred Armory,2,M15,228
Sadistic Obsession,1,MH1,105
Sage of Mysteries,1,THB,62
Salvage Scuttler,4,AER,43
Sandstone Oracle,1,CMR,336
Savage Surge,3,RTR,133
Sawtooth Loon,1,DMR,199
Scrappy Bruiser,4,MOM,162
Self-Reflection,1,LCI,74
Sentinel Totem,1,XLN,245
Seraph of New Capenna // Seraph of New Phyrexia,3,MOM,36
Servant of the Conduit,9,KLD,169
Set Adrift,6,KTK,54
Shadow Stinger,3,ZNR,123
Sharktocrab,1,CMR,450
Shimmerwing Chimera,3,THB,64
Siege Modification,1,PLST,AER-99
Slice and Dice,1,CMM,255
Somberwald Stag,1,EMN,169
Sphinx of the Guildpact,1,RNA,241
Squawkroaster,1,ECL,160
Staff of the Flame Magus,1,M15,233
Storm Fleet Aerialist,3,XLN,83
Storm Fleet Arsonist,3,XLN,162
Storm Fleet Swashbuckler,1,RIX,117
Surgical Suite // Hospital Room,1,DSK,34
Sylvok Battle-Chair,3,ONE,184
Tavern Swindler,9,RTR,79
Tezzeret's Touch,1,AER,138
Thassa's Emissary,6,THS,68
Thorn Elemental,1,DOM,185
Thrill-Kill Assassin,5,RTR,81
Thundering Chariot,1,THB,239
Thunderous Snapper,2,ELD,215
Ticking Gnomes,1,EMA,233
Treasure Keeper,1,A25,235
Trepanation Blade,2,IMA,231
Trickster's Talisman,1,AFR,79
Ultimate Price,4,RTR,82
Umara Mystic,1,ZNR,238
Upriser Renegade,1,NEO,324
Urabrask's Anointer,1,ONE,293
Urbis Protector,1,MM3,27
"Valduk, Keeper of the Flame",1,DOM,148
Vengeful Devil,5,MH1,152
Vengeful Strangler // Strangling Grasp,1,MID,126
Venomous Brutalizer,1,ONE,193
Veteran Motorist,3,KLD,188
Viashino Shanktail,3,GTC,110
Wandering Champion,1,FRF,29
Watcher of the Roost,4,KTK,30
Webspinner Cuff,1,NEO,214
Wild Onslaught,2,DOM,188
Winterflame,7,KTK,213
Wispweaver Angel,5,KLD,35
Yavimaya Iconoclast,1,DMU,190
Zagoth Crystal,1,IKO,242
A Little Chat,1,SNC,47
Agoraphobia,2,GTC,30
Aim High,2,BBD,189
Arena Athlete,3,THS,113
Assassin's Ink,1,NEO,87
Atarka Monument,2,DTK,235
Avacynian Missionaries // Lunarch Inquisitors,1,SOI,6
Badlands Revival,1,OTJ,194
Betrayer's Bargain,1,DSK,126
Black Dragon,1,AFR,90
Blood Mist,2,EMN,119
Bloodfire Enforcers,1,FRF,93
Bloodshot Trainee,1,2XM,119
Bond of Flourishing,1,WAR,155
Boneyard Lurker,2,IKO,178
Born to Drive,2,NEO,6
Borrowed Time,2,MID,6
Bright Reprisal,3,XLN,7
Caparocti Sunborn,1,LCI,226
Celeborn the Wise,2,LTR,156
Chainer's Torment,1,DOM,82
Check for Traps,2,AFR,92
Chilling Grasp,1,EMN,50
Chronicler of Heroes,2,THS,190
Cinder Elemental,3,GTC,87
Clear the Stage,3,RNA,68
Cleaver Riot,1,M13,125
Cloudform,1,FRF,32
Combust,3,MM2,110
Compelling Deterrence,1,SOI,52
Conclave Naturalists,7,ORI,171
Congregation Gryff,1,OTJ,200
Covert Cutpurse // Covetous Geist,2,MID,92
Crocodile of the Crossing,3,AKH,162
Daredevil Dragster,1,AER,149
Dark Betrayal,2,THS,83
Deadly Complication,1,MKM,195
Deathgazer,2,9ED,124
Demolish,1,8ED,183
Devotee of Strength,2,HOU,113
Dragon Egg,2,M19,138
Dual-Sun Technique,1,EOE,13
Dwarven Hammer,4,KHM,133
Emergent Growth,1,XLN,188
Emeria Captain,3,ZNR,11
Emissary of Sunrise,2,PLST,XLN-10
Enchanted Carriage,3,ELD,218
Entrancing Lyre,1,THB,233
Epitaph Golem,2,SOI,254
Everdawn Champion,2,RIX,6
Expand the Sphere,1,ONE,168
Fearless Liberator,3,KHM,135
Fencing Ace,2,CMR,21
Filigree Familiar,5,KLD,212
Flames of the Raze-Boar,2,RNA,101
Flower // Flourish,2,GRN,226
Forbidden Alchemy,1,UMA,56
Forging the Tyrite Sword,2,KHM,211
Foul Play,3,MID,101
Foul-Tongue Invocation,1,DTK,102
Fuss // Bother,1,MKM,248
Galestrike,3,AKH,54
Gargoyle Sentinel,6,M19,236
Gearshift Ace,7,KLD,16
Geist-Fueled Scarecrow,3,EMN,196
Ghastbark Twins,2,M19,181
Ghoulsteed,2,SOI,113
Gift of Compleation,1,MOM,106
Goldnight Redeemer,1,AVR,23
Golem Artisan,1,CMR,311
Gravedigger,1,M19,98
Grim Strider,7,AKH,94
Grima Wormtongue,1,LTR,88
Gutter Skulker // Gutter Shortcut,1,VOW,62
Hada Spy Patrol,1,ROE,71
Harbor Bandit,3,M13,95
Heirloom Mirror // Inherited Fiend,2,MID,105
Hellkite Punisher,3,M21,151
Hidden Stockpile,1,AER,129
Horde Ambusher,6,KTK,110
Horribly Awry,7,BFZ,59
Horses of the Bruinen,2,LTR,55
Illusory Ambusher,2,IMA,58
Improbable Alliance,3,ELD,193
Incorrigible Youths,1,SOI,166
Inspiring Cleric,2,XLN,16
Inspirit,2,9ED,22
Invasion of Moag // Bloomwielder Dryads,1,MOM,237
Invasion of Muraganda // Primordial Plasm,3,MOM,192
Invasion of Regatha // Disciples of the Inferno,1,MOM,148
Juggernaut,2,DOM,222
Juggernaut,1,M15,220
Keensight Mentor,2,IKO,18
Kin-Tree Invocation,1,KTK,183
Kindle the Inner Flame,1,ECL,147
Klothys's Design,1,THB,176
Kor Entanglers,6,BFZ,36
Krakilin,1,TMP,235
Lambholt Raconteur // Lambholt Ravager,1,VOW,167
Loch Dragon,4,ELD,211
Lotus-Eye Mystics,2,FRF,17
Maelstrom Muse,1,STX,202
Mark for Death,1,GTC,99
Mass Production,3,BRO,15
Merciless Javelineer,4,AKH,202
Merfolk Falconer,1,ZNR,69
Meteorite,5,M15,221
Minister of Pain,1,DTK,111
Mistway Spy,1,MKM,65
Monstrous Onslaught,1,CMR,244
Nebelgast Intruder,1,DBL,64
Nemesis Phoenix,1,CLB,403
Nessian Demolok,1,BNG,128
Niko Defies Destiny,4,KHM,226
Norn's Inquisitor,1,MOM,29
Oakhame Ranger // Bring Back,1,ELD,212
Obscura Charm,1,SNC,208
Ominous Sphinx,1,HOU,41
Ongoing Investigation,4,SOI,77
Ordruun Veteran,4,GTC,184
Ore-Scale Guardian,3,MH1,137
Painsmith,1,2XM,102
Paladin of Predation,1,ONE,178
Peak Eruption,5,THS,132
Phthisis,1,TSR,129
Possessed Skaab,1,ORI,215
Practical Research,1,STX,212
Prophetic Bolt,1,2X2,265
Proud Mentor,3,BBD,20
Prying Questions,1,EMN,101
Psychic Symbiont,6,M19,221
Quarry Beetle,2,HOU,127
Rageform,2,FRF,112
Rally for the Throne,1,ELD,25
Rampaging Ceratops,1,LCI,162
Reckless Scholar,1,GNT,23
Relentless Raptor,5,RIX,169
Restless Apparition,1,EVE,94
Righteous Charge,3,GTC,23
Rise from the Grave,1,M11,114
Rockslide Sorcerer,1,ZNR,154
Rod of Ruin,1,5ED,396
Sanctuary Wall,3,MKM,32
Scalestorm Summoner,1,OTJ,144
Seed Guardian,2,OGW,143
Seraph of the Masses,2,M15,32
Shadow Summoning,1,LTR,226
Shire Shirriff,1,LTR,441
Simic Fluxmage,1,GTC,49
Sky Tether,1,RNA,21
Slaughter Singer,1,ONE,216
Snare Thopter,7,KLD,236
Somberwald Alpha,5,ORI,198
Speedway Fanatic,2,KLD,132
Sphinx of New Prahv,5,RNA,208
Spinning Wheel,2,ELD,234
Splicer's Skill,10,MH1,31
Squelching Leeches,1,JOU,84
Staggershock,1,IMA,147
Stangg,6,A25,218
Stew the Coneys,1,LTR,189
Stir the Sands,1,AKH,110
Street Spasm,5,RTR,106
Strength of the Pack,1,CMR,259
Sumala Sentry,1,MKM,233
Sunscape Battlemage,1,DDE,40
Supreme Will,1,HOU,49
Swallowing Plague,1,CHK,146
Swarm of Bloodflies,2,BBD,161
"Syr Elenora, the Discerning",7,ELD,67
Tethmos High Priest,2,JOU,29
Thirst for Knowledge,1,NEO,85
Thornscape Battlemage,1,DDE,42
Thrashing Brontodon,1,LCI,216
"Tiana, Ship's Caretaker",1,DMR,204
Tidal Courier,4,APC,31
Torch Breath,1,SNC,127
Town Gossipmonger // Incited Rabble,1,SOI,46
Trial of Strength,4,AKH,191
Trial of Zeal,5,AKH,152
Triton Cavalry,1,JOU,55
Trostani's Summoner,1,DGM,110
Tuskguard Captain,2,KTK,156
Ugin's Construct,2,FRF,164
Ulamog's Despoiler,1,BFZ,16
Ulcerate,1,M15,119
Undercity Troll,2,ORI,202
Valor in Akros,2,A25,38
"Vhal, Candlekeep Researcher",1,CLB,102
Vigilant Baloth,5,M19,206
Vine Gecko,1,ZNR,219
Visionary Augmenter,3,KLD,34
Voracious Fell Beast,1,LTR,422
Wandering Troubadour,3,AFR,210
Wandermare,5,ELD,204
Warfire Javelineer,2,AKH,155
Warped Researcher,2,LGN,56
Wee Dragonauts,1,GRN,214
Weight of Memory,5,DOM,74
Whirler Virtuoso,4,KLD,190
Woebringer Demon,1,RVR,98
Woodvine Elemental,1,CNS,52
Woolly Thoctar,1,MM3,203
Wrench,1,MKM,37
Yarok's Wavecrasher,1,M20,81
Yew Spirit,4,AVR,207
Zanikev Locust,1,RTR,84
Zenith Seeker,5,AKH,77
Abzan Kin-Guard,1,FRF,120
Adverse Conditions,10,BFZ,54
"Aegar, the Freezing Flame",1,KHM,321
Agatha's Champion,1,WOE,160
Akroan Line Breaker,1,JOU,88
Angelic Quartermaster,2,VOW,2
Armorcraft Judge,4,CMR,218
Asari Captain,1,NEO,215
Azorius Justiciar,4,RVR,6
Baneblade Scoundrel // Baneclaw Marauder,1,MID,85
Baxter Stockman,2,TMT,139
Behold the Unspeakable // Vision of the Unspeakable,2,NEO,48
Belle of the Brawl,3,ELD,78
Betrayal at the Vault,1,OTJ,155
"Bill Ferny, Bree Swindler",1,LTR,42
Bill the Pony,2,LTR,3
Bitter Downfall,1,LTR,77
Blazing Hellhound,1,ORI,210
Blood Feud,1,DKA,83
Blood Hypnotist,2,VOW,145
Bloodfray Giant,4,RTR,89
Bouncer's Beatdown,2,SNC,135
Bramblecrush,1,ISD,172
Burden of Proof,1,MKM,42
Burn Away,9,KTK,104
Cached Defenses,3,FRF,126
Captivating Gyre,2,M20,51
Civic Saber,2,RVR,254
Clash of Titans,5,IKO,111
Cloaked Cadet,1,VOW,192
Corpse Traders,2,AVR,90
Crew Captain,1,SNC,303
Culvert Ambusher,2,MKM,158
Deadly Wanderings,4,DTK,94
Deathless Behemoth,5,BFZ,5
Deem Worthy,2,AKH,127
Descendant of Masumaro,1,SOK,126
Diver Skaab,3,VOW,56
Diviner's Lockbox,2,M20,225
Dragon Grip,2,KTK,107
Dreamshaper Shaman,1,2X2,108
Dreg Mangler,1,RTR,158
Dromoka's Gift,3,DTK,184
Drunau Corpse Trawler,1,SOI,57
Dune Diviner,2,HOU,114
Enlarge,1,IMA,162
Enraged Giant,1,AER,80
Epic Downfall,3,ELD,85
Exotic Disease,1,PLS,43
Favored of Iroas,3,THB,15
Fearless Fledgling,1,ZNR,15
Flames of the Firebrand,1,M13,132
Furnace Whelp,1,M13,133
Ghostblade Eidolon,2,BNG,12
Glare of Heresy,7,THS,15
Glimpse of Freedom,1,THB,50
Glorifier of Dusk,2,XLN,12
Gloryscale Viashino,1,2X2,219
Goblin Commando,1,JMP,325
Goblin Test Pilot,2,DGM,74
Gravedigger,6,AKH,93
Gravetiller Wurm,1,DKA,116
Groundskeeper,1,SOI,208
Gustcloak Sentinel,2,ONS,37
Havoc Sower,1,OGW,71
Hellkite Whelp,1,GRN,106
Herdchaser Dragon,2,DTK,190
Hurler Cyclops,2,DMU,130
Icy Manipulator,3,DOM,219
Ihsan's Shade,1,A25,94
Incendiary Sabotage,4,KLD,119
Infestation Expert // Infested Werewolf,1,VOW,206
Invasion of Lorwyn // Winnowing Forces,2,MOM,236
Invasion of Ulgrotha // Grandmother Ravi Sengir,2,MOM,116
Invigorating Boon,1,DMR,164
It Doesn't Add Up,1,MKM,89
Jace's Triumph,1,WAR,55
Jeskai Elder,3,KTK,43
Jetting Glasskite,3,EMA,58
Joust,10,ELD,129
Kolaghan Monument,3,IMA,217
Krasis Incubation,1,DGM,79
Lightform,3,C18,68
Lightform,3,FRF,16
Lightning Strike,1,XLN,149
Liliana's Defeat,2,HOU,68
Limits of Solidarity,3,AKH,140
Living Conundrum,1,MKM,63
Magmatic Sprinter,2,ONE,140
Magmaw,1,UMA,138
Marauding Sphinx,1,OTJ,56
Marrow Bats,1,AVR,113
Meriadoc Brandybuck,1,LTR,177
Millstone,1,M19,242
Momentum Rumbler,1,IKO,126
Monstrous Onslaught,1,AER,116
Monstrous Step,1,IKO,166
Murasa Sproutling,3,ZNR,196
Mysterious Pathlighter,6,ELD,22
Necrogen Scudder,1,M15,106
Nim Grotesque,1,5DN,56
Noxious Dragon,2,FRF,77
Null Caller,1,CMR,140
Oakshade Stalker // Moonlit Ambusher,2,VOW,212
Oblivious Bookworm,1,DSK,225
Onward // Victory,2,AKH,218
Ooze Spill,1,TMT,48
Ovalchase Dragster,5,KLD,225
Overcome,1,M20,186
Patron of the Valiant,1,CMR,37
Pheres-Band Brawler,3,THB,193
Phyrexian Gargantua,1,MOM,121
Phyrexian Scuta,1,DMR,100
Pine Walker,3,KTK,143
Power of Persuasion,1,AFR,67
Processor Assault,12,BFZ,132
Puppeteer,2,8ED,94
Purifying Dragon,1,MID,155
Qal Sisma Behemoth,1,DTK,149
Rakshasa Gravecaller,1,DTK,114
Ramosian Greatsword,1,MOM,159
Ravager's Mace,1,ZNR,235
Redrock Sentinel,1,OTJ,247
Render Inert,2,MOM,123
Returned Pastcaller,1,STX,224
Revenant,1,ORI,117
Rise from the Grave,1,ZNC,53
Roar of the Wurm,1,EMA,182
Roaring Primadox,1,M13,188
Rod of Ruin,2,8ED,312
Runaway Carriage,2,SOI,261
Salt Road Quartermasters,4,DTK,199
Scion of Ugin,1,DTK,1
Second Guess,2,AVR,74
Selesnya Keyrune,3,RTR,233
Sentry of the Underworld,2,THS,202
Serum-Core Chimera,1,ONE,215
Shambling Remains,1,CON,124
Shiv's Embrace,1,M11,156
Shrewd Negotiation,4,KLD,64
Sift,1,M19,72
Silverstrike,2,SOI,37
Sinister Monolith,1,BLB,113
Sinuous Benthisaur,1,LCI,76
Siren Song Lyre,1,BNG,161
Sky-Blessed Samurai,2,NEO,314
Skyspear Cavalry,1,JOU,26
Slayer's Cleaver,2,EMN,198
Sleek Schooner,2,XLN,247
Smog Elemental,2,GTC,79
Soul Net,1,5ED,400
Spinning Wheel Kick,1,NEO,207
Staff of the Mind Magus,2,M15,234
Stonewright,1,AVR,157
"Strider, Ranger of the North",2,LTR,232
Sudden Reclamation,2,FRF,139
Susurian Dirgecraft,1,EOE,117
Swirling Torrent,7,RNA,56
Tempered Veteran,1,M21,41
Temur Charger,2,KTK,153
Thoughtweft Charge,1,ECL,198
Tide Drifter,3,BFZ,67
Tiger-Tribe Hunter,1,AFR,163
Tiller of Flesh,2,MOM,44
Tormented Thoughts,4,ORI,122
Travel Preparations,2,2X2,162
Trusty Companion,4,KLD,33
Ulamog's Reclaimer,4,BFZ,68
Ulvenwald Mysteries,1,SOI,236
Unravel,1,EOE,83
Valiant Changeling,4,MH1,34
Veteran Adventurer,4,ZNR,218
Vile Aggregate,3,BFZ,137
Vow of Wildness,1,CMR,262
Wanted Scoundrels,1,XLN,131
Warden of the Beyond,3,M15,42
Wardscale Dragon,7,FRF,30
Weapons Trainer,4,OGW,160
Weaver of Lightning,1,EMN,149
Wedding Security,1,VOW,299
Whirlermaker,6,KLD,239
Whispering Wizard,1,VOW,88
Wick's Patrol,1,BLB,121
Acquisitions Expert,2,ZNR,89
Aetherborn Marauder,4,KLD,71
Appeal // Authority,1,HOU,152
Arborback Stomper,6,KLD,142
Arcanist's Owl,1,ELD,206
Archon of Falling Stars,1,THB,2
Archweaver,2,RTR,114
Ardent Militia,6,8ED,3
Balduvian Atrocity,1,DMU,79
Bane Alley Broker,3,GTC,145
Battle-Rattle Shaman,5,M21,130
Battlefield Scavenger,7,AKH,118
Bazaar Krovod,4,RTR,7
Blade-Blizzard Kitsune,3,NEO,5
Bloodtithe Collector,2,MID,90
Brushstrider,4,RTR,117
Burly Breaker // Dire-Strain Demolisher,2,MID,174
"Butterbur, Bree Innkeeper",2,LTR,197
Carnage Gladiator,1,MM3,155
Carrier Thrall,5,BFZ,106
Cherished Hatchling,2,RIX,124
Circle of Confinement,1,VOW,7
Clear Shot,1,EMN,152
Clear Shot,2,MID,176
Clockwork Servant,1,ELD,216
Cone of Flame,3,JVC,54
Contested Game Ball,2,LCI,251
Coordinated Clobbering,1,DSK,173
Coral Colony,1,DMU,45
Covert Technician,1,NEO,49
Dauntless Onslaught,3,THS,6
Dawnhart Wardens,1,MID,308
Death Wind,1,DTK,95
Deathless Knight,2,ELD,208
Djinn of the Fountain,3,DMU,47
Dodecapod,1,DMR,220
Domestication,2,2X2,47
Dragon Whelp,1,DMU,120
Driftgloom Coyote,1,BLB,11
Dromoka Monument,2,DTK,238
Duelcraft Trainer,2,MID,16
Dusk Feaster,1,EMN,88
Dutiful Griffin,1,WOE,11
Eclipsed Flamekin,1,ECL,219
Elite Headhunter,2,ELD,209
Elvish Hydromancer,3,DMU,162
Embraal Bruiser,3,KLD,79
Enduring Scalelord,1,BBD,221
Engineered Might,5,KLD,181
Enthralling Victor,6,A25,129
Erebos's Emissary,6,THS,86
Evolving Adaptive,1,ONE,167
Faith's Fetters,1,EMA,10
Fallaji Dragon Engine,1,BRO,159
Fangblade Brigand // Fangblade Eviscerator,1,MID,292
Fencing Ace,1,2XM,15
Fiery Finish,6,M19,140
Fireborn Knight,4,ELD,210
Fleeting Aven,2,ONS,83
Flunk,1,STX,71
Frost Walker,1,FRF,35
Gang of Devils,2,CN2,158
Gavony Dawnguard,2,MID,20
Geological Appraiser,2,LCI,150
Ghirapur Guide,4,KLD,156
Ghostblade Eidolon,1,C15,70
Gnottvold Hermit // Chrome Host Hulk,1,MOM,188
Goldenhide Ox,2,JOU,125
Gravedigger,2,M20,103
Hagra Sharpshooter,4,BFZ,113
Harsh Scrutiny,1,KLD,85
Harvester Troll,3,OGW,133
Haunting Hymn,2,IMA,93
Hermitic Nautilus,1,LCI,58
Highspire Mantis,7,KTK,177
Hungry Flames,1,AER,84
Hydrolash,3,GNT,22
Hydrolash,1,ORI,59
Illusionary Armor,1,M14,59
Iron League Steed,7,KLD,219
Jorubai Murk Lurker,1,M15,65
Keen-Eared Sentry,2,AFR,22
Keldon Champion,1,EMA,135
Kheru Bloodsucker,8,KTK,75
Kinjalli's Dawnrunner,3,LCI,19
Kitesail,3,M13,208
Kraken's Eye,2,9ED,302
Kraul Swarm,1,GRN,73
"Kwende, Pride of Femeref",1,DOM,25
Labyrinth Guardian,5,AKH,60
Lashwhip Predator,1,EOE,195
Lullmage's Familiar,1,ZNR,227
Magma Pummeler,1,VOW,169
Make Your Own Luck,2,OTJ,218
Malicious Malfunction,1,NEO,110
Markov Waltzer,1,VOW,242
Meddling Youths,1,MKM,367
Merciless Repurposing,3,MOM,117
Mistfire Adept,3,FRF,42
Mossbeard Ancient,2,DMU,173
Murasa Rootgrazer,2,ZNR,229
Mystic Subdual,1,IKO,57
Nightfire Giant,2,M15,109
Nimraiser Paladin,1,ONE,101
Noble Banneret,3,CN2,17
Odric's Outrider,1,MID,29
Panicked Bystander // Cackling Culprit,1,VOW,28
Paranoid Parish-Blade,5,SOI,33
Parasitic Grasp,3,VOW,123
Pardic Arsonist,2,TOR,105
Phyrexian Hulk,2,M13,209
Porcelain Zealot,3,ONE,30
Protection of the Hekma,4,AKH,23
Public Execution,1,CN2,145
Rakdos Ringleader,1,RTR,186
Rampaging Geoderm,1,MOM,251
Ramroller,3,ORI,237
Recoil,1,DMR,197
Reconstructed Thopter,1,BRO,242
Resistance Squad,1,VOW,32
Revive,1,8ED,276
Rhox War Monk,3,MM3,180
Riddleform,1,HOU,43
Rise from the Tides,1,CMM,117
Rise of the Ants,2,MID,196
Risen Sanctuary,3,RTR,190
Rod of Ruin,1,6ED,309
Rod of Ruin,2,9ED,307
"Safana, Calimport Cutthroat",2,CLB,390
Sanctuary Raptor,3,MH2,233
Sanguine Statuette,1,VOW,177
Savior of the Small,1,DSK,27
Sea God's Revenge,8,THS,61
Security Blockade,2,RTR,20
Seismic Elemental,3,ORI,161
Seismic Rupture,1,DTK,156
Seismic Wave,1,NEO,161
Selective Snare,2,GRN,53
Serra Angel,2,IMA,30
Shapers of Nature,1,XLN,228
Shield of the Realm,3,DOM,228
"Shredder, Unrelenting",1,TMT,74
Siege Striker,1,M21,37
Skilled Animator,3,CMR,98
Skyclave Pick-Axe,2,ZNR,204
Skyraker Giant,2,ORI,162
Skyrider Patrol,6,M19,224
Slice in Twain,4,XLN,207
